strategy,sltp_profile,entry_session,exit_session,trades,win_rate,profit_factor,net_profit,expectancy,max_drawdown
MACD_Cross,RR2.0_SL1.5ATR,London_NewYork_Overlap,Asia,43,0.6744186046511628,4.979463780521098,237.418235549985,5.52135431511593,-14.018541063823513
EMA9_21_Cross,RR3.0_SL1.0ATR,NewYork,Tokyo_London_Overlap,33,0.6060606060606061,4.940640443322893,139.57087305498618,4.229420395605642,-10.22725567547971
Session_VWAP_Reversion,RR3.0_SL1.0ATR,London,London_NewYork_Overlap,2,0.5,4.915675168399942,7.20859697221923,3.604298486109615,0.0
Combo_H1H4TrendAlign_EMA9_21Cross,RR2.0_SL1.5ATR,Sydney,London_NewYork_Overlap,3,0.6666666666666666,4.904757610011171,7.040026220459867,2.346675406819956,-1.802935527268164
EMA9_21_Cross,RR1.5_SL1.0ATR,NewYork,London_NewYork_Overlap,3,0.6666666666666666,4.701483632868294,6.311164743293757,2.103721581097919,0.0
Combo_EMACross_ATRVolatilityFilter,RR1.5_SL1.0ATR,NewYork,London_NewYork_Overlap,3,0.6666666666666666,4.701483632868294,6.311164743293757,2.103721581097919,0.0
RSI_Reversion_30_70,RR2.0_SL1.5ATR,London,Sydney_Tokyo_Overlap,11,0.5454545454545454,4.696030392998884,59.15578121922424,5.377798292656749,-10.00334560830095
Bollinger_Breakout,RR3.0_SL1.0ATR,Tokyo_London_Overlap,London_NewYork_Overlap,61,0.5901639344262295,4.694822416390509,163.83633354180233,2.6858415334721695,-8.408076764834021
Combo_EMA200Trend_RSI50Pullback,RR3.0_SL1.0ATR,London_NewYork_Overlap,London,22,0.5909090909090909,4.599561264603205,90.28250389076076,4.103750176852762,-5.9501927364773195
Combo_H1Trend_M15DonchianBreakout,RR3.0_SL1.0ATR,Sydney_Tokyo_Overlap,London_NewYork_Overlap,33,0.5454545454545454,4.597412524373659,123.01821847276429,3.7278248022049785,-7.278344134938962
Combo_H4Trend_OpeningRangeBreakout,RR3.0_SL1.0ATR,London_NewYork_Overlap,Sydney,27,0.5925925925925926,4.596746406735957,128.54380964805708,4.760881838816929,-15.900300256983442
Opening_Range_Breakout,RR3.0_SL1.0ATR,London_NewYork_Overlap,Tokyo_London_Overlap,32,0.5625,4.589738313820721,136.0737740177226,4.252305438053831,-9.729099405358657
Opening_Range_Breakout,RR3.0_SL1.0ATR,London_NewYork_Overlap,Asia,28,0.5714285714285714,4.585958567225279,119.44198209170101,4.265785074703607,-8.455284017591438
Opening_Range_Breakout,RR3.0_SL1.0ATR,NewYork,Asia,68,0.5882352941176471,4.5691213447935,301.5725000836384,4.434889707112329,-13.303257018189043
Combo_H4Trend_OpeningRangeBreakout,RR3.0_SL1.0ATR,NewYork,Asia,49,0.5918367346938775,4.552711531751648,247.87358792372473,5.058644651504586,-13.405240852916592
Donchian20_Breakout,RR1.5_SL1.0ATR,London_NewYork_Overlap,Sydney,19,0.631578947368421,4.538980177846941,63.06913919525886,3.3194283786978347,-10.887811428433906
Combo_H4Trend_OpeningRangeBreakout,RR3.0_SL1.0ATR,London_NewYork_Overlap,London,24,0.5833333333333334,4.532321304748939,94.98177033367953,3.957573763903314,-9.703226857507907
Combo_MACDCross_BollingerBreakout,RR3.0_SL1.0ATR,Tokyo_London_Overlap,London_NewYork_Overlap,40,0.6,4.517520441087694,142.31682761393014,3.5579206903482534,-7.784529191694276
Combo_H1Trend_M15DonchianBreakout,RR3.0_SL1.0ATR,London_NewYork_Overlap,Sydney,23,0.4782608695652174,4.4914705590164195,116.90862164890346,5.082983549952324,-20.607314456414407
Session_ATR_Volatility_Breakout,RR3.0_SL1.0ATR,Asia,London_NewYork_Overlap,17,0.47058823529411764,4.4781898447745645,59.73640458876828,3.5139061522804873,-6.978189779053764
RSI_Reversion_30_70,RR2.0_SL1.5ATR,Sydney,Asia,7,0.7142857142857143,4.44707058835522,42.29901819541695,6.042716885059564,-7.97682765220361
