strategy,sltp_profile,entry_session,trades,win_rate,profit_factor,net_profit,expectancy,max_drawdown
Bollinger_Breakout,RR2.0_SL1.5ATR,Sydney_Tokyo_Overlap,2524,0.33518225039619653,0.9355460199764771,-328.05754821625527,-0.12997525682102032,-581.2571568873857
Combo_H4Trend_OpeningRangeBreakout,RR3.0_SL1.0ATR,London,1736,0.2764976958525346,0.9337932305174323,-190.4790504904527,-0.10972295535164325,-267.17605694875965
EMA9_21_Cross,RR3.0_SL1.0ATR,London_NewYork_Overlap,2210,0.25972850678733034,0.9335143562631372,-313.11262317192376,-0.14167991998729582,-490.59879644753596
Bollinger_Breakout,RR1.5_SL1.0ATR,London_NewYork_Overlap,3574,0.39647453833240065,0.9327733052600582,-406.2125855044955,-0.11365769040416775,-642.8531333163577
Opening_Range_Breakout,RR1.5_SL1.0ATR,Sydney_Tokyo_Overlap,4396,0.4049135577797998,0.9322139809939648,-375.7673397042364,-0.08547937663881629,-736.7017223140928
Session_ATR_Volatility_Breakout,RR2.0_SL1.5ATR,London_NewYork_Overlap,3004,0.3285619174434088,0.9318284856548872,-582.135808247812,-0.19378688690007057,-881.8326732755548
Combo_EMA200Trend_RSI50Pullback,RR3.0_SL1.0ATR,London_NewYork_Overlap,2479,0.25010084711577246,0.9317949183157642,-349.96705448353737,-0.14117267224023292,-527.9934493227794
Combo_H1Trend_M15DonchianBreakout,RR2.0_SL1.5ATR,London,1223,0.34423548650858543,0.931558586318589,-183.18862776972847,-0.14978628599323668,-251.10440757143016
Bollinger_MeanReversion,RR2.0_SL1.5ATR,Sydney_Tokyo_Overlap,2526,0.32779097387173395,0.9314417686381877,-390.53171619295836,-0.15460479659262008,-463.73032067102065
Bollinger_Breakout,RR1.5_SL1.0ATR,NewYork,1859,0.3706293706293706,0.9308662992207749,-473.47557707812314,-0.25469369396348746,-728.8304036574632
Donchian20_Breakout,RR1.5_SL1.0ATR,London_NewYork_Overlap,4079,0.3978916401078696,0.9295109580108787,-502.9484164519052,-0.1233018917508961,-802.4026437263478
Session_VWAP_Reversion,RR1.5_SL1.0ATR,London_NewYork_Overlap,66,0.4090909090909091,0.9269867806598777,-8.750221682582783,-0.13257911640276943,-33.62784944736222
Session_ATR_Volatility_Breakout,RR2.0_SL1.5ATR,Asia,581,0.31841652323580033,0.9246676847924947,-89.94326048068835,-0.15480767724731215,-151.81203358522197
Combo_EMA200Trend_RSI50Pullback,RR2.0_SL1.5ATR,Tokyo_London_Overlap,366,0.35792349726775957,0.9242102097511428,-54.31365590061532,-0.14839796694157192,-70.83658174674254
Combo_H1H4TrendAlign_EMA9_21Cross,RR3.0_SL1.0ATR,London,754,0.27984084880636606,0.9241037501129612,-90.24178275252757,-0.11968406200600473,-141.47135541634825
Combo_EMACross_ATRVolatilityFilter,RR2.0_SL1.5ATR,London,881,0.3280363223609535,0.9239563480344982,-141.78940816530064,-0.1609414394611812,-228.7431596609321
MACD_Cross,RR3.0_SL1.0ATR,NewYork,3077,0.22879428014299644,0.921676776447959,-924.6664091968487,-0.3005090702622193,-1478.1688825731794
Bollinger_MeanReversion,RR1.5_SL1.0ATR,NewYork,2182,0.38817598533455544,0.9207972243743627,-658.7688677915512,-0.30191057185680625,-728.751106186641
RSI_Reversion_30_70,RR3.0_SL1.0ATR,London,1391,0.2372393961179008,0.9195542771080759,-190.82003963853384,-0.1371819120334535,-364.2782244487999
Session_ATR_Volatility_Breakout,RR3.0_SL1.0ATR,London_NewYork_Overlap,3603,0.24784901470996393,0.9186227306324318,-630.2340549960735,-0.17491924923565738,-810.0871953075489
Bollinger_MeanReversion,RR3.0_SL1.0ATR,Asia,714,0.22408963585434175,0.9178954948529117,-92.02652555747959,-0.12888869125697422,-313.0166340398149
EMA9_21_Cross,RR2.0_SL1.5ATR,London,1145,0.337117903930131,0.917545144682078,-197.72307650186923,-0.1726839096086194,-212.41546384767057
