=== Market Structure Events (Sorted by Time) ===,,,,,,,
Type,Direction/Action,Price,Time,Timeframe,Status,PreviousPrice,PreviousTime
HH,Update,2009.80,2023.03.20 09:30:00,M15,Accepted,,
CHoCH,Bearish,1965.83,2023.03.20 16:00:00,M15,Confirmed,2009.80,1970.01.01 00:00:00
HH,Update,2009.80,2023.03.20 16:00:00,M15,Accepted,,
LL,Update,1965.83,2023.03.20 16:00:00,M15,Accepted,,
HH,Update,2009.80,2023.03.20 16:00:00,M15,Accepted,,
HH,Update,2009.80,2023.03.20 16:15:00,M15,Accepted,,
HH,Update,1985.19,2023.03.21 05:30:00,M15,Accepted,,
BoS,Bearish,1965.83,2023.03.21 14:00:00,M15,Confirmed,1985.19,1970.01.01 00:00:00
LL,Update,1935.44,2023.03.21 20:45:00,M15,Accepted,,
HH,Update,1946.30,2023.03.22 03:00:00,M15,Accepted,,
LL,Update,1934.27,2023.03.22 09:15:00,M15,Accepted,,
LL,Update,1934.27,2023.03.22 17:00:00,M15,Accepted,,
CHoCH,Bullish,1979.19,2023.03.22 20:45:00,M15,Confirmed,1934.27,1970.01.01 00:00:00
LL,Update,1934.27,2023.03.22 20:45:00,M15,Accepted,,
HH,Update,1979.19,2023.03.22 20:45:00,M15,Accepted,,
BoS,Bullish,1934.27,2023.03.23 08:00:00,M15,Confirmed,1979.19,1970.01.01 00:00:00
HH,Update,1983.65,2023.03.23 09:15:00,M15,Accepted,,
LL,Update,1966.55,2023.03.23 14:45:00,M15,Accepted,,
BoS,Bullish,1934.27,2023.03.23 16:15:00,M15,Confirmed,1983.65,1970.01.01 00:00:00
HH,Update,2003.33,2023.03.23 20:30:00,M15,Accepted,,
LL,Update,1981.23,2023.03.24 10:30:00,M15,Accepted,,
HH,Update,2003.33,2023.03.24 19:15:00,M15,Accepted,,
CHoCH,Bearish,1969.22,2023.03.27 01:00:00,M15,Confirmed,2003.33,1970.01.01 00:00:00
HH,Update,2003.33,2023.03.27 01:00:00,M15,Accepted,,
LL,Update,1969.22,2023.03.27 01:00:00,M15,Accepted,,
HH,Update,2003.33,2023.03.27 01:00:00,M15,Accepted,,
BoS,Bearish,1969.22,2023.03.27 09:15:00,M15,Confirmed,2003.33,1970.01.01 00:00:00
LL,Update,1944.04,2023.03.27 16:45:00,M15,Accepted,,
HH,Update,1959.43,2023.03.27 19:00:00,M15,Accepted,,
LL,Update,1944.04,2023.03.28 04:15:00,M15,Accepted,,
CHoCH,Bullish,1963.99,2023.03.28 04:30:00,M15,Confirmed,1944.04,1970.01.01 00:00:00
LL,Update,1944.04,2023.03.28 04:30:00,M15,Accepted,,
HH,Update,1963.99,2023.03.28 04:30:00,M15,Accepted,,
LL,Update,1949.15,2023.03.28 12:00:00,M15,Accepted,,
BoS,Bullish,1944.04,2023.03.28 15:30:00,M15,Confirmed,1963.99,1970.01.01 00:00:00
HH,Update,1975.32,2023.03.28 22:45:00,M15,Accepted,,
LL,Update,1958.68,2023.03.29 10:00:00,M15,Accepted,,
HH,Update,1971.75,2023.03.30 04:00:00,M15,Accepted,,
CHoCH,Bearish,1955.22,2023.03.30 04:30:00,M15,Confirmed,1975.32,1970.01.01 00:00:00
HH,Update,1971.75,2023.03.30 04:30:00,M15,Accepted,,
LL,Update,1955.22,2023.03.30 04:30:00,M15,Accepted,,
HH,Update,1971.75,2023.03.30 04:30:00,M15,Accepted,,
LL,Update,1955.22,2023.03.30 15:30:00,M15,Accepted,,
CHoCH,Bullish,1984.37,2023.03.30 19:45:00,M15,Confirmed,1955.22,1970.01.01 00:00:00
LL,Update,1955.22,2023.03.30 19:45:00,M15,Accepted,,
HH,Update,1984.37,2023.03.30 19:45:00,M15,Accepted,,
LL,Update,1977.60,2023.03.31 03:15:00,M15,Accepted,,
HH,Update,1984.37,2023.03.31 10:30:00,M15,Accepted,,
CHoCH,Bearish,1973.20,2023.03.31 11:30:00,M15,Confirmed,1984.37,1970.01.01 00:00:00
HH,Update,1984.37,2023.03.31 11:30:00,M15,Accepted,,
LL,Update,1973.20,2023.03.31 11:30:00,M15,Accepted,,
HH,Update,1984.37,2023.03.31 11:30:00,M15,Accepted,,
HH,Update,1987.63,2023.03.31 15:30:00,M15,Accepted,,
HH,Update,1987.63,2023.03.31 15:30:00,M15,Accepted,,
BoS,Bearish,1973.20,2023.03.31 20:15:00,M15,Confirmed,1984.37,1970.01.01 00:00:00
